original_idx,index,wav_path,ref_wav_path,prompt_text,text,wav_asr_text,wer
227,227,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19284142-common_voice_en_19284143.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19284142.wav,The expression is now generally used metaphorically.,"You aren’t positive, you’re negative.","You aren't positive, you're negative.",0.4
408,408,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20030172-common_voice_en_20030173.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20030172.wav,The Germans built several administrative buildings in Ambam as it was of strategic importance.,The children of Gowanda had school that day.,"""'The children of Gawanda had school that day.'",0.375
5,5,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_10933823-common_voice_en_10933825.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_10933823.wav,Sometimes I overthink things which leads me to postpone and ultimately never achieve the goal I had in mind.,The primary coil has fifty turns.,The primary coil has 50 tens.,0.3333333333333333
110,110,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_17851231-common_voice_en_17851256.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_17851231.wav,The stems of the tall glasses cracked and broke.,A rich farm is rare in this sandy waste.,A rich farmer's rare in this sandy weast.,0.3333333333333333
309,309,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_19706873-common_voice_en_19706870.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_19706873.wav,Remains of Roman settlement have been uncovered in the area.,He was offered a 'one year tour' playing with Alice.,He was offered a one-year tour playing with Alice.,0.3
447,447,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20303932-common_voice_en_20303930.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20303932.wav,"The implication works both ways, and thus the universal is bidirectional.",Kaufman Lake is also a popular full day hiking destination.,Kauffman Lake is also a popular full-day hiking destination.,0.3
1048,1048,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_652024-common_voice_en_652023.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_652024.wav,For the first time I started to see that it was possible to become productive.,Add autry inman to my Hanging Out and Relaxing playlist.,Add all three InMen to my hanging out and relaxing playlist.,0.3
23,23,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_15734837-common_voice_en_15734838.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_15734837.wav,I shall be neither more nor less meritorious.,"Tyler, Lucy, Michelle, we're going to space!","Tyler, Lucy, Michelle, we are going to space.",0.2857142857142857
407,407,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_20027471-common_voice_en_20027487.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_20027471.wav,It is thought the village originally may have been named after the saint.,"It overlooks Lake Ilopango, and San Salvador.",It overlooks Lake Ilopongo in San Salvador.,0.2857142857142857
871,871,/home/hqx/Spark-TTS/example/seedtts-results-male_moderate_moderate/wav/common_voice_en_32697372-common_voice_en_32697449.wav,/root/.cache/huggingface/datasets/downloads/extracted/b0a1de931f49ad14fa25e36a9c878dfce44b29e55e4d3e0c6ba5599b8b11efe9/en/prompt-wavs/common_voice_en_32697372.wav,Most children were from former Soviet republics and former Yugoslavia.,The development sits on of real estate.,The development system of real estate.,0.2857142857142857
